Virus	Study	50th %	5th %	95th %	Detection Threshold
Norovirus (GII)	Rothman Panel-enriched	4.33 x 10⁵	1.01 x 10⁵	1.67 x 10⁶	10
Norovirus (GII)	Crits-Christoph Panel-enriched	3.07 x 10⁴	3.76 x 10³	5.16 x 10⁵	10
Norovirus (GII)	Mean (geometric)	1.15 x 10⁵	1.95 x 10⁴	9.29 x 10⁵	10
SARS-COV-2	Rothman Panel-enriched	2.43 x 10⁶	5.86 x 10⁵	8.91 x 10⁶	10
SARS-COV-2	Crits-Christoph Panel-enriched	5.61 x 10¹	1.62 x 10¹	4.21 x 10²	10
SARS-COV-2	Mean (geometric)	1.17 x 10⁴	3.08 x 10³	6.13 x 10⁴	10
Influenza A	Rothman Panel-enriched	6.51 x 10⁷	4.40 x 10⁶	1.08 x 10⁹	10
Influenza A	Crits-Christoph Panel-enriched	1.39 x 10⁴	5.14 x 10²	1.30 x 10⁶	10
Influenza A	Mean (geometric)	9.52 x 10⁵	4.75 x 10⁴	3.75 x 10⁷	10
Norovirus (GII)	Rothman Panel-enriched	4.33 x 10⁶	1.01 x 10⁶	1.67 x 10⁷	100
Norovirus (GII)	Crits-Christoph Panel-enriched	3.07 x 10⁵	3.76 x 10⁴	5.16 x 10⁶	100
Norovirus (GII)	Mean (geometric)	1.15 x 10⁶	1.95 x 10⁵	9.29 x 10⁶	100
SARS-COV-2	Rothman Panel-enriched	2.43 x 10⁷	5.86 x 10⁶	8.91 x 10⁷	100
SARS-COV-2	Crits-Christoph Panel-enriched	5.61 x 10²	1.62 x 10²	4.21 x 10³	100
SARS-COV-2	Mean (geometric)	1.17 x 10⁵	3.08 x 10⁴	6.13 x 10⁵	100
Influenza A	Rothman Panel-enriched	6.51 x 10⁸	4.40 x 10⁷	1.08 x 10¹⁰	100
Influenza A	Crits-Christoph Panel-enriched	1.39 x 10⁵	5.14 x 10³	1.30 x 10⁷	100
Influenza A	Mean (geometric)	9.52 x 10⁶	4.75 x 10⁵	3.75 x 10⁸	100
Norovirus (GII)	Rothman Panel-enriched	4.33 x 10⁷	1.01 x 10⁷	1.67 x 10⁸	1000
Norovirus (GII)	Crits-Christoph Panel-enriched	3.07 x 10⁶	3.76 x 10⁵	5.16 x 10⁷	1000
Norovirus (GII)	Mean (geometric)	1.15 x 10⁷	1.95 x 10⁶	9.29 x 10⁷	1000
SARS-COV-2	Rothman Panel-enriched	2.43 x 10⁸	5.86 x 10⁷	8.91 x 10⁸	1000
SARS-COV-2	Crits-Christoph Panel-enriched	5.61 x 10³	1.62 x 10³	4.21 x 10⁴	1000
SARS-COV-2	Mean (geometric)	1.17 x 10⁶	3.08 x 10⁵	6.13 x 10⁶	1000
Influenza A	Rothman Panel-enriched	6.51 x 10⁹	4.40 x 10⁸	1.08 x 10¹¹	1000
Influenza A	Crits-Christoph Panel-enriched	1.39 x 10⁶	5.14 x 10⁴	1.30 x 10⁸	1000
Influenza A	Mean (geometric)	9.52 x 10⁷	4.75 x 10⁶	3.75 x 10⁹	1000
