Virus	Study	50th %	25th %	75th %	Detection Threshold
Norovirus (GII)	Rothman Panel-enriched	$1,006	$1,657	$609	10
Norovirus (GII)	Crits-Christoph Panel-enriched	$82	$318	$24	10
Norovirus (GII)	Mean (geometric)	$287	$726	$121	10
SARS-COV-2	Rothman Panel-enriched	$695	$1,148	$412	10
SARS-COV-2	Crits-Christoph Panel-enriched	$0	$0	$0	10
SARS-COV-2	Mean (geometric)	$3	$6	$2	10
Influenza A	Rothman Panel-enriched	$18,632	$57,264	$5,824	10
Influenza A	Crits-Christoph Panel-enriched	$4	$22	$1	10
Influenza A	Mean (geometric)	$272	$1,129	$72	10
Norovirus (GII)	Rothman Panel-enriched	$10,064	$16,569	$6,087	100
Norovirus (GII)	Crits-Christoph Panel-enriched	$820	$3,180	$240	100
Norovirus (GII)	Mean (geometric)	$2,872	$7,258	$1,208	100
SARS-COV-2	Rothman Panel-enriched	$6,952	$11,485	$4,123	100
SARS-COV-2	Crits-Christoph Panel-enriched	$0	$0	$0	100
SARS-COV-2	Mean (geometric)	$33	$62	$19	100
Influenza A	Rothman Panel-enriched	$186,320	$572,638	$58,245	100
Influenza A	Crits-Christoph Panel-enriched	$40	$223	$9	100
Influenza A	Mean (geometric)	$2,724	$11,293	$723	100
Norovirus (GII)	Rothman Panel-enriched	$100,636	$165,689	$60,867	1000
Norovirus (GII)	Crits-Christoph Panel-enriched	$8,199	$31,796	$2,396	1000
Norovirus (GII)	Mean (geometric)	$28,724	$72,582	$12,076	1000
SARS-COV-2	Rothman Panel-enriched	$69,520	$114,846	$41,231	1000
SARS-COV-2	Crits-Christoph Panel-enriched	$2	$3	$1	1000
SARS-COV-2	Mean (geometric)	$334	$623	$194	1000
Influenza A	Rothman Panel-enriched	$1,863,202	$5,726,380	$582,449	1000
Influenza A	Crits-Christoph Panel-enriched	$398	$2,227	$90	1000
Influenza A	Mean (geometric)	$27,238	$112,929	$7,230	1000
