Study	Taxon	TaxID	Geometric Mean Relative Abundance	Positive Share	Number of Positive/Total
Bengtsson-Palme 2016	AAV2	10804	nan	0.0	0/20
Bengtsson-Palme 2016	BKV	1891762	5.6796666853527614e-08	0.05	1/20
Bengtsson-Palme 2016	CMV	10359	nan	0.0	0/20
Bengtsson-Palme 2016	EBV	10376	5.417053496628359e-08	0.1	2/20
Bengtsson-Palme 2016	HCV	11103	nan	0.0	0/20
Bengtsson-Palme 2016	HIV	11676	nan	0.0	0/20
Bengtsson-Palme 2016	HPV	10566	nan	0.0	0/20
Bengtsson-Palme 2016	HSV-1	10298	3.877817568925586e-08	0.05	1/20
Bengtsson-Palme 2016	Influenza A	11320	nan	0.0	0/20
Bengtsson-Palme 2016	Influenza B	11520	nan	0.0	0/20
Bengtsson-Palme 2016	JCV	10632	4.3075578927862885e-08	0.15	3/20
Bengtsson-Palme 2016	MCV	493803	4.170557778873579e-08	0.15	3/20
Bengtsson-Palme 2016	Norovirus (GI)	122928	nan	0.0	0/20
Bengtsson-Palme 2016	Norovirus (GII)	122929	nan	0.0	0/20
Bengtsson-Palme 2016	SARS-COV-2	2697049	nan	0.0	0/20
Bengtsson-Palme 2016	Astroviridae	39733	nan	0.0	0/20
Munk 2022	AAV2	10804	7.824617453172453e-08	0.24	286/1189
Munk 2022	BKV	1891762	1.238828922695963e-07	0.63	751/1189
Munk 2022	CMV	10359	3.6207153684287663e-08	0.05	57/1189
Munk 2022	EBV	10376	5.3799548682666714e-08	0.21	249/1189
Munk 2022	HCV	11103	2.7728636472030097e-08	0.0	1/1189
Munk 2022	HIV	11676	3.4952692482713234e-08	0.0	5/1189
Munk 2022	HPV	10566	nan	0.0	0/1189
Munk 2022	HSV-1	10298	3.4372463696814106e-08	0.06	70/1189
Munk 2022	Influenza A	11320	nan	0.0	0/1189
Munk 2022	Influenza B	11520	nan	0.0	0/1189
Munk 2022	JCV	10632	1.970775220547323e-07	0.75	893/1189
Munk 2022	MCV	493803	6.481211354740962e-08	0.46	546/1189
Munk 2022	Norovirus (GI)	122928	nan	0.0	0/1189
Munk 2022	Norovirus (GII)	122929	nan	0.0	0/1189
Munk 2022	SARS-COV-2	2697049	nan	0.0	0/1189
Munk 2022	Astroviridae	39733	2.973346360366926e-08	0.03	40/1189
