Study         	Geometric Mean Virus Abundance  	Geometric Mean HV Abundance
Bengtsson-
Palme 2016               	1.03 × 10⁻⁴ (1 in 9712)         	9.49 × 10⁻⁸ (1 in 10540639)
Munk 2022     	1.4 × 10⁻³ (1 in 716)           	6.02 × 10⁻⁶ (1 in 166245)
Brinch 2020   	2.92 × 10⁻³ (1 in 342)          	3.64 × 10⁻⁶ (1 in 274647)
Ng 2019       	6.0 × 10⁻⁵ (1 in 16664)         	4.16 × 10⁻⁸ (1 in 24023399)
Maritz 2019   	8.11 × 10⁻⁴ (1 in 1233)         	6.88 × 10⁻⁷ (1 in 1453681)
Brumfield 2022	1.62 × 10⁻³ (1 in 617)          	2.59 × 10⁻⁶ (1 in 385583)
Yang 2020     	3.69 × 10⁻² (1 in 27)           	2.62 × 10⁻⁴ (1 in 3812)
Spurbeck 2023 	6.01 × 10⁻⁵ (1 in 16636)        	1.78 × 10⁻⁶ (1 in 563365)
CC 2021       	1.11 × 10⁻² (1 in 89)           	8.64 × 10⁻⁴ (1 in 1157)
Rothman 2021  	1.04 × 10⁻² (1 in 95)           	8.32 × 10⁻⁶ (1 in 120218)
All studies   	1.24 × 10⁻³ (1 in 807)          	3.73 × 10⁻⁶ (1 in 268359)
